                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.125,                 4.3466,                  4.221,                0.00336,                0.78788,                0.02667,                0.00826,                 2.8234,                 3.8412,                 4.1527,                0.00032,                0.00032,                0.00032
                      2,                 3.1171,                 4.2374,                 4.1602,                0.00326,                0.78788,                0.01008,                0.00373,                 2.7899,                 3.8006,                 4.1303,             0.00064693,             0.00064693,             0.00064693
                      3,                  3.185,                 4.0982,                 4.1044,                0.00298,                0.74242,                0.00952,                0.00304,                 2.6826,                  3.798,                 3.9769,              0.0009604,              0.0009604,              0.0009604
                      4,                 3.1034,                 4.0554,                 4.0404,                0.00283,                0.71212,                0.01096,                0.00315,                 2.6887,                 3.7641,                 3.8871,              0.0012604,              0.0012604,              0.0012604
                      5,                 3.1557,                 4.0242,                 3.9655,                0.00268,                0.68182,                0.01301,                0.00418,                 2.7578,                  3.761,                 3.8026,              0.0015469,              0.0015469,              0.0015469
                      6,                 3.0562,                 3.9355,                 3.8503,                0.00304,                0.77273,                0.01418,                0.00442,                 2.7236,                  3.933,                 3.5166,               0.001802,               0.001802,               0.001802
                      7,                 2.9439,                  4.025,                 3.7681,                0.00385,                0.63636,                0.00919,                0.00234,                 3.1984,                 3.8572,                 6.4958,               0.001802,               0.001802,               0.001802
                      8,                 2.9326,                 3.9309,                 3.6745,                0.00418,                0.71212,                0.02979,                0.01044,                 3.2795,                 4.3607,                 7.7661,              0.0017624,              0.0017624,              0.0017624
                      9,                 2.8974,                 3.9186,                 3.6219,                0.00365,                0.07576,                 0.0025,                0.00105,                 3.7253,                 7.8788,                 13.159,              0.0017228,              0.0017228,              0.0017228
                     10,                   2.82,                 3.9098,                 3.4524,                0.00405,                0.57576,                0.00414,                0.00142,                 3.8519,                   5.06,                 5.5633,              0.0016832,              0.0016832,              0.0016832
                     11,                 2.8391,                 3.8808,                 3.3998,                0.00334,                0.72727,                0.01551,                0.00609,                 3.2895,                 4.5485,                 4.0117,              0.0016436,              0.0016436,              0.0016436
                     12,                 2.8424,                 3.8628,                 3.3126,                0.12976,                0.33333,                0.07439,                 0.0206,                 3.6229,                 8.5786,                 34.602,               0.001604,               0.001604,               0.001604
                     13,                 2.8501,                 3.7486,                 3.2911,                0.00363,                0.83333,                0.07523,                 0.0213,                 2.9083,                 3.4852,                 3.6008,              0.0015644,              0.0015644,              0.0015644
                     14,                 2.7421,                 3.8659,                  3.296,                0.00353,                0.87879,                 0.0236,                0.00834,                 2.7739,                 3.6199,                 3.4288,              0.0015248,              0.0015248,              0.0015248
                     15,                 2.7631,                  3.757,                 3.2161,                0.00319,                0.80303,                0.02027,                0.00535,                 2.9157,                 3.9052,                 3.5735,              0.0014852,              0.0014852,              0.0014852
                     16,                 2.7524,                 3.7463,                  3.177,                0.00262,                0.66667,                0.03484,                0.00865,                  2.885,                  4.709,                 3.4862,              0.0014456,              0.0014456,              0.0014456
                     17,                 2.7632,                  3.723,                 3.2119,                0.00238,                0.60606,                0.04831,                0.01569,                 2.9926,                 4.8033,                 3.5265,               0.001406,               0.001406,               0.001406
                     18,                  2.648,                 3.6943,                 3.1099,                0.00226,                0.57576,                0.00984,                0.00309,                  2.918,                 5.3624,                 3.3892,              0.0013664,              0.0013664,              0.0013664
                     19,                 2.7202,                 3.7387,                 3.1836,                0.00286,                0.72727,                 0.0398,                0.00786,                 2.7926,                 3.8149,                 3.3384,              0.0013268,              0.0013268,              0.0013268
                     20,                 2.6797,                 3.6262,                 3.1465,                0.00304,                0.77273,                0.05443,                0.01374,                 2.9318,                 3.5274,                 3.3901,              0.0012872,              0.0012872,              0.0012872
                     21,                 2.6093,                 3.6618,                 3.0809,                 0.0031,                0.78788,                0.08619,                0.02631,                 2.9257,                 3.3346,                 3.3548,              0.0012476,              0.0012476,              0.0012476
                     22,                 2.6436,                  3.603,                 3.0859,                0.00327,                0.81818,                0.03356,                0.01295,                 2.8675,                  3.646,                 3.4104,               0.001208,               0.001208,               0.001208
